
BookID,PreferentialPrice,author,bookName,image_urls,images,number,press,price
11969879,35.60,罗伯特·B·西奥迪尼,影响力（经典版）（新版）,//img14.360buyimg.com/n3/jfs/t3235/43/1426302686/269479/249c9d4c/57ccf79aNedd6e655.jpg,, 03 ,北京联合出版公司,54.90
12214612,12.50,罗尔德·达尔,罗尔德·达尔作品典藏·了不起的狐狸爸爸,//img10.360buyimg.com/n3/jfs/t6199/214/1154637728/393688/ff3f120e/594c7773N76cea311.jpg,, 04 ,明天出版社,15.00
12316775,70.40,中国注册会计师协会,注册会计师2018教材 2018年注册会计师全国统一考试辅导教材 CPA 会计,//img14.360buyimg.com/n3/jfs/t18121/15/1236207207/35494/cc949089/5ac2421cN1eefa71a.jpg,, 05 ,中国财政经济出版社,88.00
12281359,16.60,杨红樱,杨红樱笑猫日记：又见小可怜,//img12.360buyimg.com/n3/jfs/t15271/120/1933374026/262921/db9dc0a9/5a615355Nae3d1b0c.jpg,, 06 ,明天出版社,20.00
12026441,27.40,阿尔弗雷德.阿德勒,自卑与超越（完整全译本）,//img10.360buyimg.com/n3/jfs/t16273/188/2376961810/152226/a3ce9817/5ab8ae1bN5bc7e6e3.jpg,, 07 ,中国友谊出版公司,39.80
12045155,24.80,莳田晋至,在教室说错了没关系,//img13.360buyimg.com/n3/jfs/t4192/314/62575772/332896/12007ce8/58ae94c8Na6573a30.jpg,, 08 ,青岛出版社,36.00
11970223,14.90,杨红樱,淘气包马小跳（漫画升级版）：孔雀屎咖啡,//img10.360buyimg.com/n3/jfs/t3073/234/1840714894/359212/8bb21c79/57d6078dNc6508ff9.jpg,, 09 ,安徽少年儿童出版社,18.00
11475204,131.40,杨红樱,淘气包马小跳漫画升级版（第一辑套装全十册）,//img13.360buyimg.com/n3/jfs/t16987/300/507543982/703124/ef4facb8/5a8fc1f2N2391bedd.jpg,, 10 ,安徽少年儿童出版社,180.00
12081245,64.70,梅丽·麦金农,英语单词大书（附原版音频）,//img14.360buyimg.com/n3/jfs/t19261/247/91529816/683607/ddc5cc1f/5a5c8cd8Ne2d95fe1.jpg,, 11 ,北京联合出版公司,78.00
11705310,14.90,杨红樱,淘气包马小跳（漫画升级版）：忠诚的流浪狗,//img13.360buyimg.com/n3/jfs/t823/257/1199783340/617268/2ddb1568/55826c16N1659086d.jpg,, 12 ,安徽少年儿童出版社,18.00
11859598,14.90,杨红樱,淘气包马小跳（漫画升级版）：白雪公主小剧团,//img11.360buyimg.com/n3/jfs/t2131/100/1995147344/383096/d6078c13/569765d7Ne0be3196.jpg,, 13 ,安徽少年儿童出版社,18.00
12320732,44.80,财政部会计资格评价中心,中级会计职称2018教材 2018年全国会计专业技术初级资格考试辅导教材：中级会 ...,//img13.360buyimg.com/n3/jfs/t18721/84/1340112861/51606/a82b1000/5ac433f6Na1947504.jpg,, 14 ,经济科学出版社,56.00
12257413,63.00,瑞·达利欧,原则,//img10.360buyimg.com/n3/jfs/t15667/160/563569281/151713/d4fab374/5a373299N4978d724.jpg,, 15 ,中信出版集团，中信出版社,98.00
